Trait,chr,region,rsID,95g,AMR,EAS,SAS,EUR,AFR
Cholesterol_total,16,56967026,rs118146573,0.263158,0.1354,0.0069,0.1421,0.1223,0.0242
Obesity-related_traits,11,93970883,rs11825709,0.0210526,0.0346,0.2113,0.0808,0.0249,0.0938
Obesity-related_traits,14,22313945,rs11845134,0.126316,0.2017,0.1319,0.2669,0.1849,0.8238
Obesity-related_traits,15,58420004,rs11857380,0.0315789,0.1844,0.1131,0.2495,0.2137,0.0651
Body_mass_index_(interaction),18,53379661,rs11876941,0.0631579,0.2983,0.2292,0.3016,0.5139,0.3328
Obesity-related_traits,2,26860401,rs11887277,0.905263,0.5029,0.1468,0.3057,0.3936,0.4493
Gallstones,2,43839108,rs11887534,0.221053,0.0965,0.0139,0.0419,0.0795,0.0764
Obesity-related_traits,2,104192254,rs11890236,0.0105263,0.0562,0.0169,0.0501,0.0398,0.0817
Response_to_amphetamines,2,166085630,rs11904006,0.0947368,0.1945,0.1121,0.1687,0.2217,0.2012
Obesity-related_traits,20,12101994,rs11907106,0.0736842,0.0058,0,0,0,0.084
Response_to_efavirenz-containing_treatment_in_HIV_1_infection_(virologic_failure),3,186495995,rs11918665,1,0.8862,0.9435,0.8926,0.8827,0.9841
Glucose_homeostasis_traits,3,188528469,rs11920292,0.726316,0.5,0.9177,0.5204,0.4642,0.348
Obesity-related_traits,7,21108059,rs11974269,0.168421,0.1499,0.1528,0.2505,0.169,0.2844
Obesity-related_traits,7,152972755,rs11981919,0.0105263,0.013,0,0,0.002,0.1551
Obesity-related_traits,8,117138754,rs11989843,0.221053,0.1513,0.1567,0.089,0.1859,0.3139
Obesity-related_traits,8,14692647,rs11989868,0.578947,0.3833,0.3681,0.2546,0.2406,0.7292
Obesity-related_traits,8,121609669,rs11995252,0.0105263,0.0519,0,0.0982,0.0596,0.2617
Obesity-related_traits,8,128207827,rs11995854,0.473684,0.2723,0.0982,0.135,0.2068,0.4002
Obesity-related_traits,1,231134890,rs12023396,0.305263,0.2277,0.37,0.2331,0.2455,0.1467
Obesity-related_traits,1,178522744,rs12023718,0.0421053,0.0836,0.0952,0.0971,0.0994,0.2511
Response_to_amphetamines,10,127939367,rs12049671,0.557895,0.2406,0.2669,0.1861,0.1561,0.0779
Prostate_cancer,16,71657426,rs12051443,0.747368,0.5231,0.7341,0.3108,0.325,0.2481
Obesity-related_traits,2,189742427,rs12053254,0.284211,0.1153,0.122,0.044,0.0437,0.1309
Obesity-related_traits,1,159205564,rs12075,0.652632,0.5389,0.0774,0.3599,0.6024,0.9811
Obesity-related_traits,1,113901972,rs12079716,0.0105263,0.0115,0,0,0,0.0643
Response_to_antidepressant_treatment_(citalopram),1,9091266,rs12080794,0.326316,0.1916,0.2252,0.2014,0.1451,0.1331
Obesity-related_traits,19,3797102,rs12104221,0.905263,0.3732,0.1776,0.0992,0.1153,0.1006
Cognitive_performance,1,37781481,rs12117544,0.0105263,0.0029,0,0,0.007,0.0008
Response_to_amphetamines,1,19060091,rs12123383,0.284211,0.2205,0.2996,0.4274,0.2724,0.2557
Obesity-related_traits,1,188414185,rs12142669,0.989474,0.8401,0.753,0.8446,0.836,0.7201
Immune_response_to_smallpox_vaccine_(IL-6),15,80708937,rs12148329,0.0421053,0.0793,0.1736,0.0982,0.1282,0.1067
Prostate_cancer,7,20954872,rs12155172,0.989474,0.8703,0.7222,0.7955,0.7972,0.9062
Obesity-related_traits,6,169327506,rs12190007,0.0210526,0.2666,0.006,0.2168,0.4553,0.3245
Obesity-related_traits,6,2565518,rs12195826,0.315789,0.6138,0.5308,0.59,0.6799,0.5401
Obesity-related_traits,6,12509895,rs12198798,0.168421,0.1369,0.2054,0.0685,0.1352,0.2375
Obesity-related_traits,7,77920589,rs12234571,0.126316,0.0965,0.0982,0.1963,0.0527,0.211
Glucose_homeostasis_traits,10,94146558,rs1223629,1,0.9481,0.8849,0.9755,0.9652,0.5166
Immune_response_to_smallpox_vaccine_(IL-6),10,53624983,rs12256830,0.0842105,0.0317,0.0506,0.0491,0.0258,0.1263
Obesity-related_traits,10,11677011,rs12265836,0.0105263,0.1398,0.0923,0.2209,0.2793,0.149
Immune_response_to_smallpox_vaccine_(IL-6),12,132769223,rs12282,0.568421,0.0504,0.125,0.1718,0.1362,0.0545
Response_to_efavirenz-containing_treatment_in_HIV_1_infection_(virologic_failure),12,126763839,rs12306296,0.0105263,0.1268,0.0704,0.0593,0.1889,0.1936
Obesity-related_traits,12,116761609,rs12322695,0.0105263,0.0144,0.1101,0.1411,0.004,0.1929
Obesity-related_traits,18,75795614,rs12326088,0.578947,0.5403,0.7173,0.728,0.6988,0.1377
Obesity-related_traits,11,106652498,rs12364992,0.452632,0.1816,0.0764,0.0276,0.0408,0.1679
Obesity-related_traits,13,50545001,rs1239954,0.0105263,0.0043,0,0,0,0.0628
Response_to_efavirenz-containing_treatment_in_HIV_1_infection_(virologic_failure),10,131491642,rs12414342,0.484211,0.3184,0.1994,0.1483,0.1948,0.118
Obesity-related_traits,11,4541988,rs12416860,0.0210526,0.0893,0.0744,0.1084,0.1074,0.2587
Immune_response_to_smallpox_vaccine_(IL-6),12,82591100,rs12425131,0.189474,0.0576,0.1538,0.0654,0.0249,0.121
Obesity-related_traits,13,35866962,rs12428086,0.568421,0.3689,0.2421,0.2628,0.2515,0.2231
Fractional_exhaled_nitric_oxide_(childhood),13,30342126,rs12429252,0.852632,0.281,0.4534,0.09,0.0189,0.3351
Obesity-related_traits,13,80070483,rs12431307,0.863158,0.5677,0.7192,0.3865,0.4245,0.2844
Obesity-related_traits,14,95381957,rs12432260,0.105263,0.0447,0.0486,0.0409,0.0089,0
Glucose_homeostasis_traits,15,54934372,rs12438945,0.578947,0.2695,0.0774,0.1329,0.1223,0.0741
Trans_fatty_acid_levels,16,82664056,rs12446301,0.357895,0.219,0.2589,0.2178,0.1561,0.1233
Response_to_amphetamines,2,112933827,rs12467847,0.947368,0.5346,0.2976,0.3814,0.3489,0.4955
Body_mass_index_in_asthmatics,2,210630863,rs12468557,0.263158,0.2147,0.0883,0.3129,0.3569,0.1702
Obesity-related_traits,2,242106609,rs12478296,0.905263,0.3732,0.4315,0.3589,0.1133,0.3495
Obesity-related_traits,2,38874067,rs12479213,0.663158,0.2493,0.5794,0.1227,0.2545,0.0129
Prostate_cancer,20,50911385,rs12480328,0.178947,0.0648,0.0883,0.0849,0.0656,0.1604
Response_to_amphetamines,20,46132846,rs12480534,0.789474,0.3242,0.4454,0.2935,0.2604,0.1445
Obesity-related_traits,21,35641323,rs12483148,0.0631579,0.0331,0,0.0133,0.1163,0.0038
Preeclampsia,10,28738294,rs1248993,0.0315789,0.0576,0.001,0.0746,0.1064,0.3071
Prostate_cancer,4,94593458,rs12500426,0.505263,0.4352,0.4931,0.2413,0.5328,0.6225
Fractional_exhaled_nitric_oxide_(childhood),4,112934321,rs12500579,0.2,0.1182,0.3641,0.2873,0.0408,0.2769
Allergic_rhinitis_in_non-asthmatics,5,125252697,rs12520745,0.357895,0.1657,0.3462,0.4468,0.2038,0.093
Obesity-related_traits,7,15296311,rs12531027,0.0105263,0.0533,0.001,0.092,0.1193,0.0666
Response_to_amphetamines,7,77133634,rs12540771,0.0210526,0.1081,0.0169,0.0613,0.2097,0.1906
Obesity-related_traits,8,59710789,rs12541902,1,0.7781,0.9504,0.7362,0.6988,0.7322
Obesity-related_traits,8,56401347,rs12545109,0.947368,0.7334,0.7034,0.8006,0.7684,0.6233
Response_to_amphetamines,9,22842203,rs12554707,0.410526,0.1787,0.001,0.0818,0.0905,0.0083
Obesity-related_traits,9,73542784,rs12555078,0.273684,0.1081,0,0.0634,0.0616,0.0915
Obesity-related_traits,1,110921002,rs12567355,0.0105263,0.0576,0.1528,0.0941,0.0586,0.0552
Asthma_(childhood_onset),10,99095945,rs12570188,0.2,0.0504,0.1458,0.0072,0.008,0.0023
Obesity-related_traits,10,2382362,rs12571964,0.484211,0.1988,0.0794,0.2321,0.1809,0.1694
Obesity-related_traits,14,25660360,rs12586774,0.0842105,0.062,0.4821,0.1646,0.0308,0.0038
Obesity-related_traits,15,62998446,rs12595433,0.884211,0.4424,0.5675,0.5399,0.34,0.3812
Allergic_rhinitis,16,5769619,rs12597084,0.526316,0.6095,0.7163,0.7065,0.5586,0.9796
Glycemic_traits_(pregnancy),2,27508073,rs1260326,0.947368,0.6383,0.5188,0.7996,0.5895,0.9062
Obesity-related_traits,19,19610913,rs12610185,0.0736842,0.085,0.129,0.1575,0.0775,0.1104
Response_to_amphetamines,2,239904221,rs12618573,0.957895,0.6801,0.621,0.6022,0.4871,0.4425
Prostate_cancer,2,172446825,rs12621278,0.884211,0.0605,0.2669,0.09,0.0388,0.0015
Obesity-related_traits,3,46240900,rs12636651,0.736842,0.3401,0.5923,0.3661,0.2614,0.4327
Preeclampsia,4,181688712,rs12641856,0.0105263,0.0447,0.0685,0.1513,0.0934,0.003
Response_to_amphetamines,4,173594531,rs12646107,0.0736842,0.0965,0.13,0.1196,0.1352,0.0408
Prostate_cancer,5,1895715,rs12653946,0.842105,0.4986,0.3472,0.5266,0.4513,0.3964
Cognitive_performance,14,50411265,rs1265879,1,0.8199,0.9028,0.8691,0.836,0.3336
Obesity-related_traits,5,15618072,rs12659622,0.136842,0.0965,0.0883,0.1585,0.0964,0.0408
Obesity-related_traits,7,18335622,rs12666612,0.115789,0.0865,0.1815,0.1708,0.0915,0.0257
Obesity-related_traits,7,78529155,rs12666870,0.484211,0.2651,0.3562,0.5573,0.2803,0.1452
Bronchopulmonary_dysplasia,7,983092,rs12701220,0.621053,0.245,0.3026,0.1309,0.2207,0.0651
Obesity-related_traits,7,7825120,rs12702661,0.905263,0.7464,0.7817,0.8037,0.7594,0.8449
Obesity-related_traits,7,135794825,rs12707249,0.621053,0.2983,0.1687,0.1391,0.1402,0.3495
Fibrinogen,2,102110201,rs12712127,0.768421,0.6354,0.3631,0.3896,0.5666,0.7148
LDL_cholesterol,2,21018633,rs12713956,0.526316,0.2133,0.0357,0.1084,0.1193,0.1944
Obesity-related_traits,1,20128727,rs12722987,0.410526,0.1643,0.0883,0.1534,0.173,0.1884
Obesity-related_traits,10,26195225,rs12764197,0.652632,0.2464,0.2798,0.1728,0.1531,0.3563
Obesity-related_traits,10,97535040,rs12767760,0.831579,0.6902,0.3968,0.5532,0.8002,0.2012
Cognitive_performance,11,120938751,rs12797755,0.0105263,0.0245,0.002,0.0286,0.0606,0.0023
Obesity-related_traits,12,4196717,rs12827476,0.8,0.5173,0.2312,0.2975,0.5388,0.18
Obesity-related_traits,14,44637429,rs12884395,0.0842105,0.17,0.0823,0.2331,0.328,0.2239
Fibrinogen,15,50756405,rs12915708,0.294737,0.2378,0.6062,0.2556,0.2982,0.0439
Glucose_homeostasis_traits,16,82891080,rs12933472,0.821053,0.428,0.6885,0.3364,0.1223,0.2194
Allergic_rhinitis,19,57738275,rs12973620,0.210526,0.1599,0.2252,0.2464,0.1938,0.1188
Obesity-related_traits,19,406934,rs12978500,0.810526,0.7767,0.8026,0.7638,0.6968,0.5628
HDL_cholesterol,19,11232027,rs12979813,0.621053,0.2637,0.2996,0.1984,0.1421,0.5552
Response_to_hepatitis_C_treatment,19,39248147,rs12979860,0.736842,0.3991,0.0804,0.2331,0.3091,0.6694
Lipid_levels_in_hepatitis_C_treatment,19,39241143,rs12980275,0.442105,0.3963,0.0893,0.2188,0.3032,0.556
Obesity-related_traits,2,5297410,rs13004938,0.0421053,0.1066,0.002,0.0859,0.2058,0.0998
Obesity-related_traits,2,230171029,rs13010639,0.0631579,0.1052,0.003,0.045,0.1083,0.0605
Obesity-related_traits,20,187379,rs13036722,0.0736842,0.0865,0.0079,0.0695,0.1173,0.3056
Fractional_exhaled_nitric_oxide_(childhood),20,42781261,rs13042473,0.421053,0.2075,0.504,0.2372,0.1769,0.1233
HDL_cholesterol,21,30688172,rs13046373,0.831579,0.6354,0.2956,0.6472,0.5686,0.3434
Obesity-related_traits,22,48234372,rs13054085,0.705263,0.2075,0.3105,0.1094,0.0239,0.0537
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),3,158893105,rs13064773,0.957895,0.5447,0.7976,0.5102,0.4095,0.2655
Obesity-related_traits,3,120706484,rs13077101,0.0421053,0.196,0.0258,0.3436,0.334,0.0953
Obesity-related_traits,3,56764467,rs13100723,0.357895,0.121,0.001,0.0307,0.0686,0.0023
Trans_fatty_acid_levels,4,187702801,rs13103223,0.0315789,0.0994,0.1696,0.1738,0.0765,0.2005
Obesity-related_traits,4,1297325,rs13108904,0.547368,0.3329,0.1012,0.3487,0.4652,0.0832
Obesity-related_traits,4,182900509,rs13114435,0.0315789,0.1484,0.2113,0.2055,0.2714,0.0794
Hip_circumference_(psychosocial_stress_interaction),4,181559422,rs13115750,0.252632,0.2406,0.255,0.2188,0.3847,0.1392
Trans_fatty_acid_levels,4,187696882,rs13149971,0.0315789,0.1153,0.1687,0.1738,0.0805,0.3949
Obesity-related_traits,5,39058254,rs13160161,0.568421,0.3573,0.4504,0.3344,0.4195,0.2685
Cognitive_performance,5,126002782,rs13169113,0.578947,0.4452,0.3353,0.4356,0.4861,0.2315
Obesity-related_traits,5,158748661,rs13170526,0.0105263,0.0303,0,0.0399,0.1024,0.003
Obesity-related_traits,5,93151837,rs13173682,1,0.7118,0.7282,0.683,0.6153,0.8434
Obesity-related_traits,22,50538325,rs131788,0.968421,0.8098,0.9841,0.8834,0.7296,0.8132
Obesity-related_traits,2,679179,rs1320333,0.0105263,0.0548,0.0188,0.092,0.0954,0.093
Obesity-related_traits,20,23117243,rs1320561,0.863158,0.6354,0.5625,0.5726,0.5606,0.3442
Obesity-related_traits,6,87620224,rs13213285,0.0105263,0.0519,0.0099,0.0174,0.0487,0.1135
Glucose_homeostasis_traits,6,110439986,rs13219760,0.326316,0.1081,0.0784,0.0654,0.0944,0.0454
Immune_response_to_smallpox_vaccine_(IL-6),6,17240923,rs1322846,0.315789,0.2939,0.3522,0.4397,0.4056,0.2837
Obesity-related_traits,7,100342684,rs13228694,0.0105263,0.0692,0.001,0.0419,0.1103,0.003
Glucose_homeostasis_traits,8,99885155,rs13253073,0.2,0.1225,0.1161,0.091,0.1412,0.1059
Prostate_cancer,8,127092098,rs13254738,0.4,0.4697,0.3155,0.6299,0.665,0.3116
Obesity-related_traits,8,8719869,rs13256369,0.578947,0.3069,0.4911,0.4008,0.2207,0.2171
Obesity-related_traits,8,17424902,rs13271465,0.915789,0.7795,0.506,0.7618,0.833,0.4123
Coronary_heart_disease_event_reduction_in_response_to_statin_therapy_(interaction),8,66062017,rs13279522,0.768421,0.3905,0.3472,0.2117,0.1362,0.7451
Obesity-related_traits,9,29545877,rs13290799,0.147368,0.1383,0.0774,0.0992,0.1809,0.0719
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_2_peripheral_neuropathy),13,106686453,rs1330950,0.526316,0.5043,0.4325,0.4407,0.5686,0.8805
Allergic_rhinitis,9,75217659,rs1332366,0.0105263,0.0865,0.254,0.32,0.1332,0.1952
Type_2_diabetes,9,22136490,rs1333051,0.115789,0.1037,0.1329,0.0828,0.1342,0.0825
Obesity-related_traits,13,101493209,rs1335587,0.8,0.5965,0.374,0.4356,0.6262,0.8064
Obesity-related_traits,1,239480871,rs13373941,0.0105263,0.0086,0,0.002,0,0.1188
Breast_cancer,2,217041109,rs13387042,0.863158,0.6369,0.9028,0.5164,0.4801,0.2216
Immune_response_to_smallpox_vaccine_(IL-6),2,26049733,rs13388915,0.0105263,0.0043,0,0.0112,0.003,0.1543
Obesity-related_traits,9,18458070,rs1340043,0.757895,0.621,0.5685,0.5951,0.675,0.6483
Obesity-related_traits,2,218216574,rs13403276,0.0105263,0.0331,0,0.0112,0.0795,0.003
Obesity-related_traits,2,167709183,rs13408808,0.0105263,0.1037,0.38,0.1697,0.163,0.0454
Glucose_homeostasis_traits,2,29750415,rs13411840,0.0210526,0.0908,0.002,0.1043,0.0457,0.7239
Obesity-related_traits,6,44772212,rs1342371,0.0210526,0.121,0.001,0.0389,0.1581,0.0159
Response_to_amphetamines,2,43411699,rs13429458,0.0315789,0.0937,0.1994,0.1943,0.1332,0.1989
Cognitive_performance,6,121018033,rs1343075,0.178947,0.1772,0.6042,0.3528,0.165,0.0424
Trans_fatty_acid_levels,13,53071313,rs1343607,0.863158,0.6167,0.8135,0.7045,0.6024,0.6407
Obesity-related_traits,7,105902134,rs13438712,0.105263,0.2954,0.0288,0.3661,0.3867,0.2065
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_2_peripheral_neuropathy),2,16458298,rs1346751,0.694737,0.6527,0.9464,0.7965,0.7416,0.9342
Obesity-related_traits,18,51878594,rs1351435,1,0.9928,0.9236,0.9867,0.9911,0.9629
Allergic_rhinitis,15,92452411,rs1352323,0.989474,0.4726,0.2817,0.4601,0.2316,0.3759
Obesity-related_traits,12,76083176,rs1368578,1,0.8631,0.999,0.9427,0.8042,0.9387
Obesity-related_traits,7,9149911,rs1371737,0.326316,0.4121,0.3403,0.2393,0.3091,0.8933
White_blood_cell_count,4,74112120,rs1371799,0.947368,0.6628,0.3452,0.5706,0.6352,0.174
Obesity-related_traits,2,119388079,rs1374313,0.315789,0.3775,0.3581,0.3661,0.5189,0.8071
Type_2_diabetes,3,185813873,rs1374910,0.252632,0.0994,0.0972,0.1687,0.0497,0.1702
Obesity-related_traits,18,43900562,rs1380836,0.936842,0.6945,0.8274,0.6401,0.6133,0.7194
Obesity-related_traits,6,98580990,rs1383808,1,0.9942,1,1,0.998,0.8306
Obesity-related_traits,4,80614239,rs1385890,1,0.755,0.6329,0.5235,0.7674,0.1785
Trans_fatty_acid_levels,4,187693604,rs1394866,0.0105263,0.1138,0.1687,0.1738,0.0795,0.3865
Obesity-related_traits,16,9249490,rs1397142,0.547368,0.4035,0.4196,0.3906,0.3827,0.3956
Obesity-related_traits,10,119206827,rs1397615,1,0.9971,1,1,1,0.9803
Trans_fatty_acid_levels,4,127602809,rs1399212,0.978947,0.9726,1,0.9949,0.9573,0.9962
Triglycerides,11,116936627,rs139961185,0.494737,0.1052,0,0.001,0.003,0.0008
Breast_cancer,6,151633699,rs140068132,0.557895,0.1225,0.003,0,0,0.0008
Body_mass_index_(interaction),20,12749395,rs1413020,0.115789,0.0346,0.1756,0.1534,0.1024,0.0545
Obesity-related_traits,7,125751591,rs1419607,0.378947,0.3977,0.4008,0.4121,0.5815,0.2413
Obesity-related_traits,18,27587981,rs1420956,0.968421,0.6614,0.6478,0.5716,0.5119,0.6021
Obesity-related_traits,4,147401235,rs1429107,1,0.902,0.9177,0.8661,0.9632,0.7186
Forced_vital_capacity,2,55893718,rs1430193,0.547368,0.3977,0.8839,0.5256,0.3668,0.7746
Bone_mineral_density,1,68191827,rs1430740,1,0.6225,0.506,0.5982,0.5795,0.4947
Obesity-related_traits,5,155875572,rs1432723,0.947368,0.4222,0.1964,0.1329,0.2018,0.0552
Response_to_amphetamines,5,153125369,rs1438949,1,0.9539,0.9286,0.9305,0.9334,0.888
Obesity-related_traits,4,181563616,rs1439283,0.315789,0.487,0.1954,0.2638,0.4433,0.6589
Bronchopulmonary_dysplasia,4,116954105,rs1440306,0.273684,0.2421,0.2768,0.2464,0.2078,0.1861
Obesity-related_traits,9,97787746,rs1443438,0.905263,0.6945,0.8681,0.8139,0.662,0.8699
Obesity-related_traits,5,15364375,rs1447276,0.0526316,0.1729,0.4444,0.3415,0.2207,0.1271
Obesity-related_traits,2,111618386,rs1448190,0.8,0.6585,0.25,0.6268,0.7535,0.5129
Trans_fatty_acid_levels,6,156024012,rs1449672,0.442105,0.4712,0.5615,0.6288,0.5477,0.6952
Nicotine_dependence,8,42691568,rs1451240,0.926316,0.7003,0.7946,0.726,0.7773,0.2874
Obesity-related_traits,12,32864109,rs1454933,0.326316,0.1542,0.1776,0.1973,0.1034,0.2209
HDL_cholesterol,8,9329732,rs1461729,0.789474,0.7435,0.9881,0.907,0.9155,0.8835
Bone_mineral_density,4,87878558,rs1463104,0.336842,0.317,0.2748,0.2638,0.3887,0.2723
Cognitive_performance,9,105664781,rs1463984,0.410526,0.2003,0.4732,0.1697,0.0924,0.1702
Prostate_cancer,2,43326810,rs1465618,0.473684,0.5836,0.2798,0.8108,0.8101,0.9342
Obesity-related_traits,10,70928614,rs1466576,0.821053,0.428,0.1002,0.2342,0.3777,0.2579
Bronchopulmonary_dysplasia,15,79171505,rs1474256,0.473684,0.5245,0.4911,0.1851,0.4036,0.2829
Obesity-related_traits,14,22139542,rs1474476,0.357895,0.8631,0.879,0.8896,0.9085,0.8404
Obesity-related_traits,9,97553948,rs1475545,0.421053,0.4092,0.3621,0.5276,0.5149,0.587
Obesity-related_traits,7,91643029,rs1476442,0.463158,0.1787,0.1458,0.1442,0.1441,0.4849
Fibrinogen,2,241357034,rs1476698,0.989474,0.5562,0.6657,0.4427,0.3479,0.3888
Obesity-related_traits,7,96001884,rs1488515,0.452632,0.1556,0.3304,0.3272,0.1501,0.1248
Obesity-related_traits,11,45506566,rs1488665,1,0.8746,0.8631,0.8978,0.833,0.7035
Response_to_amphetamines,3,176704864,rs1490075,0.0210526,0.1167,0.1369,0.1871,0.1024,0.1906
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),3,151465283,rs1491976,0.884211,0.7896,0.8849,0.7832,0.7734,0.9236
Response_to_amphetamines,7,12233526,rs14978,0.989474,0.4856,0.5327,0.4366,0.2972,0.413
Schizophrenia,16,20663170,rs151222,0.0421053,0.0548,0.2133,0.1472,0.0726,0.0257
Prostate_cancer,8,23668950,rs1512268,0.968421,0.5461,0.7044,0.547,0.5268,0.3147
Response_to_efavirenz-containing_treatment_in_HIV_1_infection_(virologic_failure),3,144736294,rs1512777,0.305263,0.17,0.1141,0.2413,0.1451,0.7458
Obesity-related_traits,15,97207105,rs1513859,1,0.9957,1,1,0.999,0.8775
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_3_peripheral_neuropathy),2,1434216,rs1514687,0.0315789,0.9092,0.8869,0.9315,0.8608,0.764
Obesity-related_traits,12,94471701,rs1520724,0.873684,0.5793,0.6468,0.5634,0.5626,0.562
Allergic_rhinitis_in_asthma,8,16931726,rs1523643,0.452632,0.719,0.6121,0.772,0.8837,0.1324
Obesity-related_traits,13,24673148,rs1530530,0.126316,0.049,0.0794,0.1605,0.0586,0.0083
Obesity-related_traits,9,5410723,rs1535454,0.0210526,0.0504,0.1627,0.2004,0.0547,0.09
Central_corneal_thickness,9,134548682,rs1536482,0.221053,0.3199,0.2123,0.4785,0.341,0.5023
Obesity-related_traits,1,203403357,rs1539143,0.978947,0.8084,0.5813,0.6074,0.7634,0.5151
Bronchopulmonary_dysplasia,5,137567007,rs1541364,0.957895,0.634,0.5496,0.4397,0.5437,0.3071
Glucose_homeostasis_traits,2,153652726,rs1546676,0.378947,0.3285,0.119,0.2914,0.5159,0.0847
Obesity-related_traits,13,105596960,rs1549059,0.652632,0.5259,0.5853,0.5654,0.6014,0.5658
Preeclampsia,20,4234910,rs1556832,0.715789,0.4582,0.119,0.6012,0.5209,0.2451
Obesity-related_traits,16,12614351,rs1560104,0.863158,0.4914,0.6895,0.4581,0.2913,0.6891
Obesity-related_traits,8,141546705,rs1566080,0.989474,0.7421,0.7768,0.7249,0.5686,0.674
Obesity-related_traits,6,20382369,rs1570155,0.410526,0.4669,0.4315,0.4918,0.5706,0.8949
Obesity-related_traits,5,85922051,rs1583686,1,0.8963,0.8333,0.8415,0.8191,0.7269
Asthma,5,60073967,rs1588265,0.357895,0.3084,0.753,0.3323,0.2773,0.2126
Glucose_homeostasis_traits,4,127922325,rs1602084,0.0315789,0.0375,0.0308,0.1738,0.0586,0.003
Obesity-related_traits,4,21569464,rs1604805,0.0105263,0.0562,0.0466,0.0941,0.0775,0.0053
Obesity-related_traits,12,130012927,rs1624802,0.768421,0.5173,0.873,0.6196,0.4354,0.4123
Obesity-related_traits,12,54515360,rs1629826,0.978947,0.7147,0.9187,0.772,0.6153,0.6316
Response_to_efavirenz-containing_treatment_in_HIV_1_infection_(virologic_failure),17,79915256,rs1663189,0.6,0.7046,0.6508,0.6953,0.7406,0.9183
Obesity-related_traits,19,33843009,rs166988,0.789474,0.6398,0.1498,0.4703,0.7435,0.851
Obesity-related_traits,8,13318898,rs1671400,0.989474,0.8718,0.9683,0.8006,0.8728,0.8124
Obesity-related_traits,13,110796768,rs167890,0.0315789,0.0562,0.0813,0.0654,0.0775,0.0953
Waist-to-hip_circumference_ratio_(interaction),2,149652818,rs16827293,0.242105,0.1499,0.5575,0.3313,0.0984,0.1097
Obesity-related_traits,11,133930324,rs1682859,0.652632,0.5634,0.3413,0.6084,0.675,0.6732
Obesity-related_traits,2,154146334,rs16836124,0.0105263,0.0893,0.1161,0.2321,0.1173,0.1649
Obesity-related_traits,2,158813937,rs16843372,0.221053,0.4352,0.122,0.3333,0.5954,0.5575
Fibrinogen,4,3447925,rs16844401,0.136842,0.085,0.0873,0.1288,0.0696,0.0219
Obesity-related_traits,2,214323895,rs16851771,0.0736842,0.0764,0.0258,0.0133,0.0636,0.2088
Obesity-related_traits,2,12072319,rs16858228,0.442105,0.1268,0.0526,0.0613,0.0199,0.003
Trans_fatty_acid_levels,5,65841633,rs16894446,0.557895,0.1427,0.3175,0.09,0.0249,0.0045
Obesity-related_traits,6,42527540,rs16895812,0.294737,0.1902,0.1468,0.2004,0.2177,0.2027
Obesity-related_traits,11,5242623,rs16912210,0.210526,0.0648,0.0724,0.0174,0.003,0.0908
Obesity-related_traits,10,19116602,rs16918253,0.0210526,0.0346,0.0069,0.138,0.0606,0.1369
Obesity-related_traits,9,15335916,rs16933006,0.231579,0.0893,0.3274,0.2566,0.1421,0.0703
Obesity-related_traits,9,117077049,rs16934284,0.0947368,0.085,0.2986,0.181,0.1252,0.2965
Obesity-related_traits,8,68818484,rs16935110,0.168421,0.1282,0.4266,0.2863,0.1272,0.1218
Trans_fatty_acid_levels,16,82677213,rs16958145,0.410526,0.1988,0.2857,0.2096,0.1153,0.0877
Trans_fatty_acid_levels,16,82677251,rs16958148,0.4,0.2161,0.2897,0.228,0.169,0.0537
Obesity-related_traits,16,59906284,rs16961543,0.410526,0.2464,0.3056,0.2955,0.165,0.6936
Obesity-related_traits,13,105182819,rs16966085,0.263158,0.0908,0.0268,0.0215,0.0348,0.0015
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),13,105595684,rs16966918,0.0105263,0.0346,0,0.0031,0.0447,0.143
Obesity-related_traits,17,70637924,rs16975985,0.115789,0.1182,0.1002,0.0644,0.0696,0.2352
Schizophrenia,15,86441009,rs16977195,0.0105263,0.0144,0.1349,0.0634,0.0527,0.0008
Trans_fatty_acid_levels,20,61690797,rs16985452,0.136842,0.0793,0.1518,0.2086,0.0477,0.2057
Obesity-related_traits,19,55986594,rs16986856,0.821053,0.4352,0.122,0.3446,0.3549,0.351
Obesity-related_traits,2,75565017,rs17011478,0.578947,0.1182,0.1111,0.0542,0.0268,0.0121
Bone_mineral_density,21,36476036,rs170183,0.821053,0.4481,0.3988,0.3487,0.5398,0.0439
Obesity-related_traits,19,50916290,rs1701930,0.989474,0.7262,0.0962,0.4059,0.5676,0.6989
Prostate_cancer,4,94641726,rs17021918,0.621053,0.2536,0.3472,0.1667,0.3439,0.2042
Obesity-related_traits,3,86919359,rs17023661,0.631579,0.2118,0.1895,0.047,0.005,0.2042
Prostate_cancer,3,87085650,rs17023900,0.126316,0.0634,0.122,0.0746,0.0755,0.0477
Obesity-related_traits,6,108532290,rs17041,0.989474,0.4611,0.251,0.4458,0.492,0.4357
